event-id,visible,timestamp,location-long,location-lat,argos:calcul-freq,argos:iq,argos:lc,argos:location-algorithm,argos:nb-mes,argos:sat-id,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
24174715871,TRUE,49:30.0,178.24,-67.751,4.02E+08,8,B,least squares,1,N,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715872,TRUE,35:53.0,178.422,-67.709,4.02E+08,6,B,least squares,1,A,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715873,TRUE,52:36.0,178.517,-67.683,4.02E+08,,A,least squares,3,K,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715874,TRUE,00:34.0,178.95,-67.533,4.02E+08,8,B,least squares,1,A,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715875,TRUE,28:56.0,178.174,-67.688,4.02E+08,,B,least squares,1,L,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715876,TRUE,40:16.0,,,,,,least squares,1,M,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715877,TRUE,52:36.0,178.464,-67.629,4.02E+08,7,B,least squares,1,N,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715878,TRUE,52:36.0,178.787,-67.558,4.02E+08,7,B,least squares,1,P,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715879,TRUE,36:47.0,178.611,-67.587,4.02E+08,7,B,least squares,1,A,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715880,TRUE,52:18.0,178.646,-67.576,4.02E+08,,B,least squares,1,K,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715881,TRUE,06:59.0,178.165,-67.552,4.02E+08,8,B,least squares,2,L,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715882,TRUE,20:14.0,178.241,-67.647,4.02E+08,,B,least squares,1,M,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715883,TRUE,35:01.0,178.045,-67.673,4.02E+08,,B,least squares,1,P,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715884,TRUE,35:01.0,178.362,-67.584,4.02E+08,,B,least squares,1,N,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715885,TRUE,35:22.0,177.768,-67.605,4.02E+08,8,B,least squares,1,A,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715886,TRUE,11:41.0,177.7,-67.603,4.02E+08,8,B,least squares,1,L,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715887,TRUE,16:05.0,178.302,-67.53,4.02E+08,5,B,least squares,2,M,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715888,TRUE,11:13.0,178.525,-67.52,4.02E+08,8,A,least squares,3,A,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715889,TRUE,28:54.0,178.521,-67.511,4.02E+08,8,B,least squares,1,K,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715890,TRUE,44:31.0,178.579,-67.512,4.02E+08,,B,least squares,1,L,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
